Aktion \ zu,Benefic,Aspected Benefic,Malefic,Malefic II,Combust,Helios,Aspected Helios,Ascend,Lightspeed,Combust II,Benefic II,Synastry,Collective Unconscious,Essential Dignity,Gravity,Earthly Star,Malefic III,Lord of Crowns,Lady of Crowns,Stellar Detonation,Divination,Celestial Opposition,Combust III,Malefic IV,Celestial Intersection,Horoscope,Horoscope,Neutral Sect,Fall Malefic,Gravity II,Exaltation,Macrocosmos,Microcosmos,Astral Draw,Umbral Draw,Play I,Play II,Play III,Minor Arcana,the Balance,the Arrow,the Spire,the Spear,the Bole,the Ewer,Oracle,Helios Conjunction,Sun Sign,Sprint,Surecast,Swiftcast,Lucid Dreaming,Esuna,Rescue,Repose
Benefic,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspected Benefic,,,,,,,,,,,,,g,,,,,,,,,,,,,,,r,,,,g,,,,,,,,,,,,,,,,,,,,,,,
Malefic,,,,Ur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malefic II,,,,,,,,,,,,,,,,,Ur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combust,,,,,,,,,,Ur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspected Helios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ur,,,,,,,,
Ascend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lightspeed,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combust II,,,,,,,,,,,,,,,,,,,,,,,Ur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benefic II,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Synastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collective Unconscious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,
Essential Dignity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gravity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ur,,,,,,,,,,,,,,,,,,,,,,,,,
Earthly Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malefic III,,,,,,,,,,,,,,,,,,,,,,,,Ur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lord of Crowns,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,
Lady of Crowns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,
Stellar Detonation,g,g,,,,,,,,,g,g,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Divination,g,g,,,,,,,,,g,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celestial Opposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combust III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malefic IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ur,,,,,,,,,,,,,,,,,,,,,,,,,,
Celestial Intersection,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horoscope,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,
Horoscope,,,,,,,,,,,,,,,,,,,,,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
