Aktion \ zu,Snort,4-tonze Weight,Water Cannon,Song of Torment,High Voltage,Bad Breath,Flying Frenzy,Aqua Breath,Plaincracker,Acorn Bomb,Bristle,Mind Blast,Blood Drain,Bomb Toss,1000 Needles,Drill Cannons,the Look,Sharpened Knife,Loom,Flame Thrower,Faze,Glower,Missile,White Wind,Final Sting,Self-destruct,Transfusion,Toad Oil,Off-guard,Sticky Tongue,Tail Screw,Level 5 Petrify,Moon Flute,Doom,Mighty Guard,Ice Spikes,the Ram's Voice,the Dragon's Voice,Peculiar Light,Ink Jet,Flying Sardine,Diamondback,Fire Angon,Feather Rain,Eruption,Mountain Buster,Shock Strike,Glass Dance,Veil of the Whorl,Alpine Draft,Protean Wave,Northerlies,Electrogenesis,Kaltstrahl,Abyssal Transfixion,Chirp,Eerie Soundwave,Pom Cure,Gobskin,Magic Hammer,Avail,Frog Legs,Sonic Boom,Whistle,White Knight's Tour,Black Knight's Tour,Level 5 Death,Launcher,Perpetual Ray,Cactguard,Revenge Blast,Angel Whisper,Exuviation,Reflux,Devour,Condensed Libra,Aetheric Mimicry,Surpanakha,Quasar,J Kick,Triple Trident,Tingle,Tatami-gaeshi,Cold Fog,White Death,Stotram,Saintly Beam,Feculent Flood,Angel's Snack,Chelonian Gate,Divine Cataract,The Rose of Destruction,Basic Instinct,Ultravibration,Blaze,Mustard Bomb,Dragon Force,Aetherial Spark,Hydro Pull,Malediction of Water,Choco Meteor,Matra Magic,Peripheral Synthesis,Both Ends,Phantom Flurry,Nightbloom,Goblin Punch,Right Round,Schiltron,Rehydration,Breath of Magic,Wild Rage,Peat Pelt,Deep Clean,Ruby Dynamics,Divination Rune,Dimensional Shift,Conviction Marcato,Force Field,Winged Reprobation,Laser Eye,Candy Cane,Mortal Flame,Sea Shanty,Apokalypsis,Being Mortal,Sprint,Surecast,Addle,Swiftcast,Lucid Dreaming,Sleep
Snort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-tonze Weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song of Torment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Voltage,,,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bad Breath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flying Frenzy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aqua Breath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plaincracker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acorn Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bristle,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mind Blast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blood Drain,,,,,,,,,,,,,,,g,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,
Bomb Toss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000 Needles,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drill Cannons,,,,,,,,,,,,,,,g,,,,,,,,g,,,,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the Look,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
