Aktion \ zu,Heavy Shot,Straight Shot,Venomous Bite,Raging Strikes,Quick Nock,Barrage,Bloodletter,Repelling Shot,Windbite,Mage's Ballad,Army's Paeon,Rain of Death,Battle Voice,Empyreal Arrow,the Wanderer's Minuet,Iron Jaws,the Warden's Paean,Sidewinder,Pitch Perfect,Troubadour,Caustic Bite,Stormbite,Nature's Minne,Refulgent Arrow,Shadowbite,Burst Shot,Apex Arrow,Ladonsbite,Blast Arrow,Radiant Finale,Wide Volley,Heartbreak Shot,Resonant Arrow,Radiant Encore,Sprint,Second Wind,Arm's Length,Head Graze,Foot Graze,Leg Graze,Peloton
Heavy Shot,,,g,,,g,,,g,,,,,,,g,,,,,g,g,,,,U,,,g,,,,,,,,,,,,
Straight Shot,s,,g,,s,gs,,,g,,,,,,,gs,,,,,gs,gs,,Ur,,s,,s,g,,,,,,,,,,,,
Venomous Bite,,,,,,g,,,g,,,,,,,g,,,,,Ugr,g,,,,,,,g,,,,,,,,,,,,
Raging Strikes,,r,,,,,,,,r,,,r,,,,,,,,,,,,,,,,,r,,,,,,,,,,,
Quick Nock,,,,,,g,,,,,,,,,,,,,,,,,,,,,,U,g,,,,,,,,,,,,
Barrage,,g,g,r,,,,,g,,,,,r,,g,,,,,,,,,,,,,,,,,,,,,,,,,
Bloodletter,,,,,,,,,,,,,g,g,,,,,,,,,,,,,,,,g,,U,,,,,,,,,
Repelling Shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Windbite,,,,,,g,,,,,,,,,,,,,,,g,Ugr,,,,,,,g,,,,,,,,,,,,
Mage's Ballad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Army's Paeon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rain of Death,,,,,,,r,,,,,,g,g,,,,,,,,,,,,,,,,g,,,,,,,,,,,
Battle Voice,,,,r,,,,,,r,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,
Empyreal Arrow,,,,r,,,,,,,,,g,,,,,,,,,,,,,,,,,g,,,,,,,,,,,
the Wanderer's Minuet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Jaws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the Warden's Paean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sidewinder,,,,r,,,,,,,,,gr,g,,,,,,,,,,,,,,,,gr,,,,,,,,,,,
Pitch Perfect,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,g,,,,,,,,,,,
Troubadour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caustic Bite,,,,,,g,,,,,,,,,,,,,,,,g,,,,,,,g,,,,,,,,,,,,
Stormbite,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Nature's Minne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refulgent Arrow,s,,g,,s,Sgs,,,g,,,,,,,gs,,,,,gs,gs,,,,s,,s,g,,,,,,,,,,,,
Shadowbite,s,,,,s,Sgs,,,,,,,,,,s,,,,,s,s,,,,s,,s,g,,,,,,,,,,,,
Burst Shot,,,g,,,g,,,g,,,,,,,g,,,,,g,g,,,,,,,g,,,,,,,,,,,,
Apex Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,,,,,,,,,,,,
Ladonsbite,,,,,g,g,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Blast Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radiant Finale,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wide Volley,s,,,,s,g,,,,,,,,,,s,,,,,s,s,,,U,s,,s,g,,,,,,,,,,,,
Heartbreak Shot,,,,,,,r,,,,,A,g,g,,,,,,,,,,,,,,,,g,,,,,,,,,,,
Resonant Arrow,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radiant Encore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,,,,,,,,,,
Sprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Second Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arm's Length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head Graze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foot Graze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leg Graze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peloton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
