Aktion \ zu,Smash Axe,Capture,First Battlehorn,Gauge,Axeblade Bite,Avalanche Axe,Shieldsplitter,Beast Mode,Mistral Axe,Spinning Axe,Gale Axe,Tempered Release,Parting Blow,Second Battlehorn,Shield Charge,Third Battlehorn,Borrow,Beastskin,Vileskin,Cloud Skim,Seedsower,Quelling Wave,Scaleskin,Soul Crush,Scouring Ash,Rallying Cheer,Rally,Brutal Rage,Hawkish Talons,Risen Fall,Calamity,Cloud Skim,Cloud Skim,Cloud Skim,Cloud Skim,Challenge,Snarl,Tempered Release,Trick,Borrow,Borrow,Borrow,Borrow,Borrow,Borrow,Borrow,Borrow,Sprint
Smash Axe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Battlehorn,,,,,,,,,,,,,,r,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axeblade Bite,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalanche Axe,,,,,,,,,,,s,,,,,,,,,,,,,,,,,KU,,,,,,,,,,,,,,,,,,,,
Shieldsplitter,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beast Mode,,,,,,,,,,,,,,,,,,K,K,K,K,K,K,K,K,,,,,,,K,K,K,K,,,,,,,,,,,,,
Mistral Axe,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,KU,,,,,,,,,,,,,,,,,,,
Spinning Axe,,,,,,,,,s,,,,,,,,,,,,,,,,,,,,,KU,,,,,,,,,,,,,,,,,,
Gale Axe,,,,,,,,,,s,,,,,,,,,,,,,,,,,,,,,KU,,,,,,,,,,,,,,,,,
Tempered Release,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parting Blow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Second Battlehorn,,,r,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shield Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Third Battlehorn,,,r,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beastskin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vileskin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud Skim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seedsower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quelling Wave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scaleskin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soul Crush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scouring Ash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rallying Cheer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brutal Rage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,s,,,,,,,,,,,,,,,,,
Hawkish Talons,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,s,,,,,,,,,,,,,,,,,,
Risen Fall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,s,,,,,,,,,,,,,,,,,
Calamity,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,s,,,,,,,,,,,,,,,,,,
Cloud Skim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud Skim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud Skim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud Skim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snarl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tempered Release,,,,,,,,,,,,ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trick,,,,,,s,,,s,s,s,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
