Aktion \ zu,Cascade,Fountain,Reverse Cascade,Fountainfall,Windmill,Bladeshower,Rising Windmill,Bloodshower,Standard Step,Technical Step,Emboite,Entrechat,Jete,Pirouette,Standard Finish,Technical Finish,Saber Dance,Closed Position,Fan Dance,Fan Dance II,Fan Dance III,En Avant,Devilment,Shield Samba,Flourish,Improvisation,Curing Waltz,Single Standard Finish,Double Standard Finish,Single Technical Finish,Double Technical Finish,Triple Technical Finish,Quadruple Technical Finish,Ending,Improvised Finish,Tillana,Fan Dance IV,Starfall Dance,Last Dance,Finishing Move,Dance of the Dawn,Sprint,Second Wind,Arm's Length,Head Graze,Foot Graze,Leg Graze,Peloton
Cascade,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,
Fountain,Cc,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,
Reverse Cascade,,,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,
Fountainfall,,,,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,
Windmill,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,
Bladeshower,,,,,C,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,
Rising Windmill,,,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,
Bloodshower,,,,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,
Standard Step,,,,,,,,,,,,,,,K,,,,,,,,,,,,,K,K,,,,,,,,,,,K,,,,,,,,
Technical Step,,,,,,,,,,,,,,,,K,,g,,,,,,,,,,,,K,K,K,K,,,,,,,,,,,,,,,
Emboite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entrechat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pirouette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard Finish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical Finish,,,,,,,,,,a,,,,,,,,,,,,,,,,,,,,,,,,,,K,,,,,,,,,,,,
Saber Dance,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,,,,,,,
Closed Position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fan Dance,,,,,,,,,g,g,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,
Fan Dance II,,,,,,,,,g,g,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,
Fan Dance III,,,,,,,,,g,g,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
En Avant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devilment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shield Samba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flourish,,,,,,,,,g,gr,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,
Improvisation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,,,,,,,,,,,,,
Curing Waltz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single Standard Finish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double Standard Finish,,,,,,,,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single Technical Finish,,,,,,,,,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double Technical Finish,,,,,,,,,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triple Technical Finish,,,,,,,,,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadruple Technical Finish,,,,,,,,,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Improvised Finish,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,
Tillana,,,,,,,,,g,gr,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,
Fan Dance IV,,,,,,,,,g,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starfall Dance,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,
Last Dance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finishing Move,,,,,,,,,A,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,
Dance of the Dawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,
Sprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Second Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arm's Length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head Graze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foot Graze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leg Graze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peloton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
