Aktion \ zu,True Thrust,Vorpal Thrust,Life Surge,Full Thrust,Lance Charge,Doom Spike,Disembowel,Chaos Thrust,Piercing Talon,Jump,Elusive Jump,Dragonfire Dive,Fang and Claw,Geirskogul,Wheeling Thrust,Battle Litany,Sonic Thrust,Mirage Dive,Nastrond,Coerthan Torment,High Jump,Raiden Thrust,Stardiver,Draconian Fury,Heavens' Thrust,Chaotic Spring,Wyrmwind Thrust,Winged Glide,Drakesbane,Rise of the Dragon,Lance Barrage,Spiral Blow,Starcross,Sprint,Second Wind,Bloodbath,True North,Arm's Length,Feint,Leg Sweep
True Thrust,,,,,,,,,,,,,,,,,,,,,,KU,,,,,,,,,,,,,,,,,,
Vorpal Thrust,c,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,U,,,,,,,,,
Life Surge,,,,,,,g,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,
Full Thrust,,Cc,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,c,,,,,,,,,
Lance Charge,,,,,,,g,,,,,,,,,r,,,,,,,g,,,,,,,,,,,,,,,,,
Doom Spike,,,,,,,,,,,,,,,,,,,,,,,,KU,,,,,,,,,,,,,,,,
Disembowel,c,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,U,,,,,,,,
Chaos Thrust,,,,,,,Cc,,,,,,,,,,,,,,,,,,,U,,,,,,c,,,,,,,,
Piercing Talon,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,
Jump,,,,,r,,g,,,,,g,,,,,,,,,Ur,,g,,,,,,,,,,,,,,,,,
Elusive Jump,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,
Dragonfire Dive,,,,,,,g,,,,,,,,,r,,,,,,,g,,,,,,,,,,,,,,,,,
Fang and Claw,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,K,,,,,,,,,,,
Geirskogul,,,,,,,g,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,
Wheeling Thrust,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,K,,,,,,,,,,,
Battle Litany,,,,,,,g,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,
Sonic Thrust,,,,,,c,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,,
Mirage Dive,,,,,,,g,,,s,,g,,,,,,,,,Ss,,g,,,,,,,,,,,,,,,,,
Nastrond,,,,,,,g,,,,,g,,s,,,,,,,,,g,,,,,,,,,,,,,,,,,
Coerthan Torment,,,,,,,,,,,,,,,,,Cc,,,,,,,,,,,,,,,,,,,,,,,
High Jump,,,,,,,g,,,,,g,,r,,,,,,,,,g,,,,,,,,,,,,,,,,,
Raiden Thrust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stardiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Draconian Fury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavens' Thrust,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,
Chaotic Spring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,
Wyrmwind Thrust,,,,,,,g,,,,,g,,,,,,,,,,r,g,r,,,,,,,,,,,,,,,,
Winged Glide,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,
Drakesbane,,,,,,,,,,,,,Cc,,Cc,,,,,,,,,,,,,,,,,,,,,,,,,
Rise of the Dragon,,,,,,,g,,,,,gs,,,,,,,,,,,g,,,,,,,,,,,,,,,,,
Lance Barrage,Cc,,,,,,,,,,,,,,,,,,,,,Cc,,,,,,,,,,,,,,,,,,
Spiral Blow,Cc,,,,,,,,,,,,,,,,,,,,,Cc,,,,,,,,,,,,,,,,,,
Starcross,,,,,,,g,,,,,g,,,,,,,,,,,gs,,,,,,,,,,,,,,,,,
Sprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Second Wind,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,
Bloodbath,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,
True North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arm's Length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feint,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,
Leg Sweep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
