Aktion \ zu,Hard Slash,Unleash,Syphon Strike,Unmend,Blood Weapon,Grit,Souleater,Dark Mind,Shadow Wall,Living Dead,Salted Earth,Abyssal Drain,Carve and Spit,Delirium,Quietus,Bloodspiller,The Blackest Night,Flood of Darkness,Edge of Darkness,Stalwart Soul,Flood of Shadow,Edge of Shadow,Dark Missionary,Living Shadow,Oblation,Salt and Darkness,Shadowbringer,Release Grit,Shadowstride,Shadowed Vigil,Scarlet Delirium,Comeuppance,Torcleaver,Impalement,Disesteem,Sprint,Rampart,Provoke,Reprisal,Shirk,Interject,Low Blow,Arm's Length
Hard Slash,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unleash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syphon Strike,Cc,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unmend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,
Blood Weapon,,,,,,,,,,,,,,Ur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Souleater,,,Cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Mind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ur,,,,,,,r,,,,,,
Living Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salted Earth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abyssal Drain,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carve and Spit,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delirium,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quietus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KU,,,,,,,,,
Bloodspiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KU,,,,,,,,,,,,
The Blackest Night,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,
Flood of Darkness,,,,,,,,,,,,,,,,,,,A,,U,,,,,,,,,,,,,,,,,,,,,,
Edge of Darkness,,,,,,,,,,,,,,,,,,A,,,,U,,,,,,,,,,,,,,,,,,,,,
Stalwart Soul,,Cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flood of Shadow,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
Edge of Shadow,r,,,r,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,
Dark Missionary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Living Shadow,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oblation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt and Darkness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadowbringer,,,,,,,,,,,,,,,,,,S,S,,S,S,,,,,,,,,,,,,,,,,,,,,
Release Grit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadowstride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,
Shadowed Vigil,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,
Scarlet Delirium,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,K,,,,,,,,,,,
Comeuppance,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,Cc,,K,,,,,,,,,,
Torcleaver,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,Cc,,,,,,,,,,,
Impalement,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disesteem,,,,,,,,,,,,,,,,,,,,,,,,Ss,,,,,,,,,,,,,,,,,,,
Sprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rampart,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,
Provoke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reprisal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shirk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low Blow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arm's Length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
