Aktion \ zu,Keen Edge,No Mercy,Brutal Shell,Camouflage,Demon Slice,Royal Guard,Lightning Shot,Danger Zone,Solid Barrel,Gnashing Fang,Savage Claw,Nebula,Demon Slaughter,Wicked Talon,Aurora,Superbolide,Sonic Break,Continuation,Jugular Rip,Abdomen Tear,Eye Gouge,Bow Shock,Heart of Light,Heart of Stone,Burst Strike,Fated Circle,Bloodfest,Blasting Zone,Heart of Corundum,Hypervelocity,Double Down,Release Royal Guard,Trajectory,Great Nebula,Fated Brand,Reign of Beasts,Noble Blood,Lion Heart,Sprint,Rampart,Provoke,Reprisal,Shirk,Interject,Low Blow,Arm's Length
Keen Edge,,g,g,,,,,,,g,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,
No Mercy,r,,r,,r,,,,r,r,,,r,,,,,,,,,,,,r,r,,,,,r,,,,,r,,,,,,,,,,
Brutal Shell,Cg,g,,,,,,,,g,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,
Camouflage,,g,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demon Slice,g,gr,g,,,,,g,,g,,,,,,,,,,,,r,,,,,g,,,,r,,,,,,,,,,,,,,,
Royal Guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lightning Shot,g,g,g,,,,,,,g,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,
Danger Zone,,g,,,,,,,,g,,,,,,,,,,,,,,,,,,U,,,r,,,,,,,,,,,,,,,
Solid Barrel,g,g,Cg,,,,,,,g,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,
Gnashing Fang,,g,,,,,,,,,K,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,
Savage Claw,,g,,,,,,,,C,,,,K,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,
Nebula,,g,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,Ur,,,,,,r,,,,,,
Demon Slaughter,g,g,g,,C,,,,,g,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,
Wicked Talon,,g,,,,,,,,,C,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,
Aurora,,g,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superbolide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonic Break,,g,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,
Continuation,,,,,,,,,,,,,,,,,,,K,K,K,,,,,,,,,K,,,,,K,,,,,,,,,,,
