Aktion \ zu,Rook Autoturret,Split Shot,Slug Shot,Spread Shot,Hot Shot,Clean Shot,Gauss Round,Reassemble,Wildfire,Dismantle,Ricochet,Heat Blast,Heated Split Shot,Heated Slug Shot,Heated Clean Shot,Barrel Stabilizer,Rook Overdrive,Rook Overload,Flamethrower,Auto Crossbow,Drill,Bioblaster,Air Anchor,Automaton Queen,Queen Overdrive,Pile Bunker,Arm Punch,Detonator,Tactician,Roller Dash,Hypercharge,Scattergun,Crowned Collider,Chain Saw,Blazing Shot,Double Check,Checkmate,Excavator,Full Metal Field,Sprint,Second Wind,Arm's Length,Head Graze,Foot Graze,Leg Graze,Peloton
Rook Autoturret,,,,,r,r,,,,,,,,,r,,A,,,,,,r,Ur,,,,,,,,,,r,,,,r,,,,,,,,
Split Shot,,,,,,,,,,,,g,Ur,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,
Slug Shot,,Ccr,,,,,,,,,,g,Cc,Ur,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,
Spread Shot,,,,,r,,,,g,,,g,,,,,,,,,r,,r,,,,,,,,g,Ur,,r,,,,,g,,,,,,,
Hot Shot,,,,,,,,,,,,g,,,,,,,,,,,U,,,,,,,,g,,,,,,,,,,,,,,,
Clean Shot,,,Ccr,,,,,,,,,g,,Cc,Ur,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,
Gauss Round,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,Ur,,,gr,,,,,,,
Reassemble,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,
Wildfire,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,,,,,,,,,,,gr,,,,,,,
Dismantle,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricochet,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ur,,gr,,,,,,,
Heat Blast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ur,,,,,,,,,,,
Heated Split Shot,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,
Heated Slug Shot,,r,,,,,,,,,,g,Cc,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,
Heated Clean Shot,,,r,,,,,,,,,g,,Cc,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,
Barrel Stabilizer,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,
Rook Overdrive,A,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,
Rook Overload,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flamethrower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto Crossbow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drill,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,
Bioblaster,,,,,,,,,,,,g,,,,,,,,,A,,,,,,,,,,g,,,,,,,,,,,,,,,
Air Anchor,,,,,,,,,r,,,g,,,,,,,,,r,,,,,,,,,,g,,,r,,,,r,,,,,,,,
Automaton Queen,,,,,r,r,,,,,,,,,r,,,,,,,,r,,A,,,,,,,,,r,,,,r,,,,,,,,
Queen Overdrive,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,
Pile Bunker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arm Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detonator,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tactician,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roller Dash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypercharge,,,,g,g,,,,r,,,,,,,,,,,,g,,g,,,,,,,,,,,g,,,,,r,,,,,,,
Scattergun,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,
Crowned Collider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chain Saw,,,,,,,,,r,,,g,,,,,,,,,r,,r,,,,,,,,g,,,,,,,Kr,,,,,,,,
Blazing Shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double Check,,,,,,,r,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gr,,,,,,,
Checkmate,,,,,,,,,g,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,gr,,,,,,,
Excavator,,,,,,,,,r,,,g,,,,,,,,,r,,r,,,,,,,,g,,,r,,,,,,,,,,,,
Full Metal Field,,,,,,,,,r,,,g,,,,,,,,,r,,r,,,,,,,,g,,,r,,,,r,,,,,,,,
Sprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Second Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arm's Length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head Graze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foot Graze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leg Graze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peloton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
