Aktion \ zu,Bootshine,True Strike,Snap Punch,Twin Snakes,Arm of the Destroyer,Mantra,Demolish,Perfect Balance,Rockbreaker,Dragon Kick,Tornado Kick,Elixir Field,the Forbidden Chakra,Form Shift,Riddle of Earth,Riddle of Fire,Brotherhood,Four-point Fury,Enlightenment,Six-sided Star,Steel Peak,Thunderclap,Howling Fist,Masterful Blitz,Celestial Revolution,Riddle of Wind,Shadow of the Destroyer,Rising Phoenix,Phantom Rush,Flint Strike,Steeled Meditation,Inspirited Meditation,Forbidden Meditation,Enlightened Meditation,Earth's Reply,Leaping Opo,Rising Raptor,Pouncing Coeurl,Elixir Burst,Wind's Reply,Fire's Reply,Sprint,Second Wind,Bloodbath,True North,Arm's Length,Feint,Leg Sweep
Bootshine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,,,,,
True Strike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,,,,
Snap Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,,,
Twin Snakes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arm of the Destroyer,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,
Mantra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demolish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perfect Balance,r,,,,,,,,,r,,,,,,r,r,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,
Rockbreaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragon Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tornado Kick,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,U,,,,,,,,,,,,,,,,,,,
Elixir Field,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,,
the Forbidden Chakra,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Form Shift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riddle of Earth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riddle of Fire,,,,,,,,r,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brotherhood,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Four-point Fury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enlightenment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Six-sided Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steel Peak,,,,,,,,,,,,,Ur,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thunderclap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howling Fist,,,,,,,,,,,,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masterful Blitz,,,,,,,,,,,K,K,,,,,,,,,,,,,K,,,K,K,K,,,,,,,,,K,,,,,,,,,
Celestial Revolution,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riddle of Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
