Aktion \ zu,Spinning Edge,Shade Shift,Gust Slash,Hide,Assassinate,Throwing Dagger,Mug,Death Blossom,Aeolian Edge,Trick Attack,Ten,Ninjutsu,Chi,Shukuchi,Jin,Kassatsu,Fuma Shuriken,Katon,Raiton,Hyoton,Huton,Doton,Suiton,Rabbit Medium,Armor Crush,Dream Within a Dream,Hellfrog Medium,Bhavacakra,Ten Chi Jin,Hakke Mujinsatsu,Meisui,Goka Mekkyaku,Hyosho Ranryu,Bunshin,Phantom Kamaitachi,Hollow Nozuchi,Forked Raiju,Fleeting Raiju,Dokumori,Kunai's Bane,Deathfrog Medium,Zesho Meppo,Tenri Jindo,Sprint,Second Wind,Bloodbath,True North,Arm's Length,Feint,Leg Sweep
Spinning Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shade Shift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gust Slash,Cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hide,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assassinate,,,,,,,,,,,,,,,,,,,,,,,,,,Ur,,,,,,,,,,,,,,,,,,,,,,,,
Throwing Dagger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ur,,,,,,,,,,,
Death Blossom,,,,,,,,,,r,r,,r,,r,,,r,r,,r,,r,,,,,,,r,r,,r,,,,,,,r,,,,,,,,,,
Aeolian Edge,,,C,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,
Trick Attack,,,,s,,,,,,,,,,,,,,,,,,,s,,,,,,,,,,,,,,,,,Ur,,,,,,,,,,
Ten,,,,,,,,,,,,,,,,,r,,r,,,r,r,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ninjutsu,,,,,,,,,,,,,,,,,K,K,K,K,K,K,K,,,,,,,,,K,K,,,,,,,,,,,,,,,,,
Chi,,,,,,,,,,,,,,,,,,r,,r,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shukuchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jin,,,,,,,,r,,r,r,,,,,,,,,,r,r,r,,,,,,r,r,r,,,,,,,,,r,,,,,,,,,,
Kassatsu,,,,,,,,,,,r,,r,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuma Shuriken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,,,,,,,,,,,
Raiton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyoton,,,,,,,,,,,,,,,,U,,,,,,,,,,,,,,,,,U,,,,,,,,,,,,,,,,,
Huton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suiton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rabbit Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armor Crush,,,Cc,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dream Within a Dream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hellfrog Medium,,,,,,,r,,,,,,,,,,,,,,,,,,,,,Ar,,,,,,r,,,,,,,K,,,,,,,,,
Bhavacakra,,,,,,,r,,,,,,,,,,,,,,,,,,,,A,,,,,,,r,,,,,,,,K,,,,,,,,
Ten Chi Jin,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,,,,,,,
Hakke Mujinsatsu,,,,,,,,Ccr,,,r,,r,,r,,,r,r,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,
Meisui,,,,,,,,,,r,,,,,,,,,,,,,s,,,,,,r,,,,,,,,,,,,,,,,,,,,,
Goka Mekkyaku,,,,,,,,,,g,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyosho Ranryu,,,,,,,,,,g,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunshin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phantom Kamaitachi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,
Hollow Nozuchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forked Raiju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fleeting Raiju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dokumori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kunai's Bane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deathfrog Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,
Zesho Meppo,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,
Tenri Jindo,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,
Sprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Second Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloodbath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arm's Length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leg Sweep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
