Aktion \ zu,Fire in Red,Aero in Green,Water in Blue,Blizzard in Cyan,Stone in Yellow,Thunder in Magenta,Fire II in Red,Aero II in Green,Water II in Blue,Blizzard II in Cyan,Stone II in Yellow,Thunder II in Magenta,Holy in White,Comet in Black,Pom Motif,Wing Motif,Claw Motif,Maw Motif,Hammer Motif,Starry Sky Motif,Pom Muse,Winged Muse,Clawed Muse,Fanged Muse,Striking Muse,Starry Muse,Mog of the Ages,Retribution of the Madeen,Hammer Stamp,Hammer Brush,Polishing Hammer,Star Prism,Subtractive Palette,Smudge,Tempera Coat,Tempera Grassa,Rainbow Drip,Creature Motif,Weapon Motif,Landscape Motif,Living Muse,Steel Muse,Scenic Muse,Sprint,Surecast,Addle,Swiftcast,Lucid Dreaming,Sleep
Fire in Red,,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aero in Green,,,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,
Water in Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,
Blizzard in Cyan,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,
Stone in Yellow,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,
Thunder in Magenta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,
Fire II in Red,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aero II in Green,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,
Water II in Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,
Blizzard II in Cyan,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,
Stone II in Yellow,,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,
Thunder II in Magenta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,
Holy in White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,
