Aktion \ zu,Fast Blade,Riot Blade,Shield Bash,Sentinel,Fight or Flight,Rage of Halone,Bulwark,Circle of Scorn,Shield Lob,Cover,Iron Will,Spirits Within,Hallowed Ground,Goring Blade,Royal Authority,Divine Veil,Clemency,Sheltron,Total Eclipse,Intervention,Requiescat,Holy Spirit,Passage of Arms,Prominence,Holy Circle,Confiteor,Atonement,Intervene,Holy Sheltron,Expiacion,Blade of Faith,Blade of Truth,Blade of Valor,Release Iron Will,Supplication,Sepulchre,Guardian,Imperator,Blade of Honor,Sprint,Rampart,Provoke,Reprisal,Shirk,Interject,Low Blow,Arm's Length
Fast Blade,,r,,,,r,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riot Blade,Ccr,,,,,r,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shield Bash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,
Sentinel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ur,,,,r,,,,,,
Fight or Flight,r,r,,,,r,,,,,,,,,r,,,,r,g,,,,r,,,r,,,,,,,,,,,,,,,,,,,,
Rage of Halone,,Cc,,,,,,,,,,,,,Ur,,,,,,,,,,,,,,,,,,,,r,r,,,,,,,,,,,
Bulwark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Circle of Scorn,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,
Shield Lob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cover,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Will,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spirits Within,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,Ur,,,,,,,,r,,,,,,,,,
Hallowed Ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goring Blade,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Authority,,Cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Divine Veil,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,
Clemency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheltron,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,Ur,,,,,,,,,,,,,,,,,,
Total Eclipse,r,r,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requiescat,,,,,r,,,,,,,,,,,,,,,g,,,,,r,,,,,,,,,,,,,U,,,,,,,,,
Holy Spirit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,
Passage of Arms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prominence,,,,,,,,,,,,,,,,,,,Cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holy Circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confiteor,,,,,,,,,,,,,,,,,,,,,a,,,,,,,,,,K,,,,,,,a,,,,,,,,,
Atonement,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,,,,,,,,,,,,
Intervene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holy Sheltron,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiacion,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,
Blade of Faith,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,K,,,,,,,,,,,,,,,
Blade of Truth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,K,,,,,,,,,,,,,,
Blade of Valor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,
Release Iron Will,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplication,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,K,,,,,,,,,,,
Sepulchre,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,
Guardian,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,
Imperator,,,,,r,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,K,,,,,,,,
Blade of Honor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,
Sprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rampart,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,
Provoke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reprisal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shirk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low Blow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arm's Length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
