Aktion \ zu,Slice,Waxing Slice,Infernal Slice,Spinning Scythe,Nightmare Scythe,Shadow of Death,Whorl of Death,Soul Slice,Soul Scythe,Gibbet,Gallows,Guillotine,Plentiful Harvest,Harpe,Soulsow,Harvest Moon,Blood Stalk,Unveiled Gibbet,Unveiled Gallows,Grim Swathe,Gluttony,Enshroud,Void Reaping,Cross Reaping,Grim Reaping,Communio,Lemure's Slice,Lemure's Scythe,Hell's Ingress,Hell's Egress,Regress,Arcane Crest,Arcane Circle,Sacrificium,Executioner's Gibbet,Executioner's Gallows,Executioner's Guillotine,Perfectio,Sprint,Second Wind,Bloodbath,True North,Arm's Length,Feint,Leg Sweep
Slice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waxing Slice,Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infernal Slice,r,Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spinning Scythe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nightmare Scythe,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow of Death,,,,,,,,,,,,,r,,,,,,,,,,,,,r,,,,,,,r,,,,,,,,,,,,
Whorl of Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soul Slice,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soul Scythe,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibbet,,,,,,,,,,,,,,,,,,,,,,,K,,,,,,,,,,,,K,,,,,,,,,,
Gallows,,,,,,,,,,,,,,,,,,,,,,,,K,,,,,,,,,,,,K,,,,,,,,,
Guillotine,,,,,,,,,,,,,,,,,,,,,,,,,K,,,,,,,,,,,,K,,,,,,,,
Plentiful Harvest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harpe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soulsow,,,,,,,,,,,,,,g,,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvest Moon,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blood Stalk,,,,,,,,,,,,,,,,,,K,K,,Ar,,,,,,K,,,,,,,,,,,,,,,,,,
Unveiled Gibbet,,,,,,,,,,S,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,
Unveiled Gallows,,,,,,,,,,,S,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,
Grim Swathe,,,,,,,,,,,,,,,,,,,,,Ar,,,,,,,K,,,,,,,,,,,,,,,,,
Gluttony,,,,,,,,,,,,,r,,,,,,,,,r,,,,,,,,,,,,K,,,,,,,,,,r,
Enshroud,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,r,
Void Reaping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cross Reaping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grim Reaping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,,,,,,,
Lemure's Slice,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,
Lemure's Scythe,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,
Hell's Ingress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,K,,,,,,,,,,,,,,
Hell's Egress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,K,,,,,,,,,,,,,,
Regress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcane Crest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcane Circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacrificium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Executioner's Gibbet,,,,,,,,,,,,,,,,,r,,,,r,,,,,,,,,,,,,,,,,,,,,,,,
Executioner's Gallows,,,,,,,,,,,,,,,,,r,,,,r,,,,,,,,,,,,,,,,,,,,,,,,
Executioner's Guillotine,,,,,,,,,,,,,,,,,r,,,,r,,,,,,,,,,,,,,,,,,,,,,,,
Perfectio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,
Sprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Second Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloodbath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arm's Length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feint,,,,,,,,,,,,,,,,,,,,,r,r,,,,,,,,,,,,,,,,,,,,,,,
Leg Sweep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
