Aktion \ zu,Hakaze,Jinpu,Shifu,Yukikaze,Gekko,Kasha,Fuga,Mangetsu,Oka,Enpi,Midare Setsugekka,Tenka Goken,Higanbana,Hissatsu: Shinten,Hissatsu: Kyuten,Hissatsu: Gyoten,Hissatsu: Yaten,Hagakure,Hissatsu: Guren,Meditate,Third Eye,Meikyo Shisui,Iaijutsu,Hissatsu: Senei,Ikishoten,Tsubame-gaeshi,Kaeshi: Goken,Kaeshi: Setsugekka,Shoha,Fuko,Ogi Namikiri,Kaeshi: Namikiri,Tengentsu,Gyofu,Zanshin,Tendo Goken,Tendo Setsugekka,Tendo Kaeshi Goken,Tendo Kaeshi Setsugekka,Sprint,Second Wind,Bloodbath,True North,Arm's Length,Feint,Leg Sweep
Hakaze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,,,,,
Jinpu,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,
Shifu,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,
Yukikaze,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,
Gekko,,Cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kasha,,,Cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,,,,,,,,,
Mangetsu,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,,
Oka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,,
Enpi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midare Setsugekka,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tenka Goken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Higanbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,
Hissatsu: Shinten,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,g,,,,,,,
Hissatsu: Kyuten,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,g,,,,,,,
Hissatsu: Gyoten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hissatsu: Yaten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hagakure,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hissatsu: Guren,,,,,,,,,,,,,,,,,,,,,,,,r,r,,,,,,,,,,,,,,g,,,,,,,
Meditate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Third Eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,,,,,,
Meikyo Shisui,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iaijutsu,,,,,,,,,,,K,K,K,,,,,,,,,,,,,,,,,,,,,,,K,K,,,,,,,,,
Hissatsu: Senei,,,,,,,,,,,,,,,,,,,A,,,,,,r,,,,,,,,,,,,,,g,,,,,,,
Ikishoten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,
