Aktion \ zu,Aetherflow,Energy Drain,Resurrection,Adloquium,Succor,Sacred Soil,Lustrate,Physick,Embrace,Indomitability,Broil,Deployment Tactics,Emergency Tactics,Dissipation,Excogitation,Broil II,Chain Stratagem,Aetherpact,Dissolve Union,Whispering Dawn,Fey Illumination,Art of War,Biolysis,Broil III,Recitation,Fey Blessing,Summon Seraph,Consolation,Seraphic Veil,Summon Eos,Bio,Bio II,Ruin,Ruin II,Broil IV,Art of War II,Protraction,Expedient,Baneful Impaction,Concitation,Seraphism,Manifestation,Accession,Sprint,Surecast,Swiftcast,Lucid Dreaming,Esuna,Rescue,Repose
Aetherflow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Drain,r,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resurrection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adloquium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,K,,,,,,,,
Succor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,,,
Sacred Soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lustrate,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Embrace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indomitability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broil,,,,,,,,,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment Tactics,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,g,,,,,,,,,,,,,,,,,,,,
Emergency Tactics,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,r,,,,,,,
Dissipation,r,,,,,,,,,,,,,,,,,,,r,,,,,,r,r,,,,,,,,,,,,,,,,,,,,,,,
Excogitation,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,
Broil II,,,,,,,,,,,,,,,,,,,,,,,,Ur,,,,,,,,,,,,,,,,,,,,,,,,,,
Chain Stratagem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aetherpact,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissolve Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whispering Dawn,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fey Illumination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Art of War,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,r,U,,,,,,,,,,,,,,
Biolysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,
Broil III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ur,,,,,,,,,,,,,,,
Recitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,
Fey Blessing,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summon Seraph,,,,,,,,,,,,,,,,,,,,r,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,
Consolation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seraphic Veil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summon Eos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ur,,,,,,,,,,,,,,,,,,
Bio II,,,,,,,,,,,,,,,,,,,,,,r,U,r,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruin,,,,,,,,,,,U,,,,,,,,,,,r,,,,,,,,g,,r,,,,,,,,,,,,,,,,,,
Ruin II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broil IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Art of War II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
