Aktion \ zu,Dosis,Diagnosis,Kardia,Prognosis,Egeiro,Physis,Phlegma,Eukrasia,Eukrasian Diagnosis,Eukrasian Prognosis,Eukrasian Dosis,Soteria,Icarus,Druochole,Dyskrasia,Kerachole,Ixochole,Zoe,Pepsis,Physis II,Taurochole,Toxikon,Haima,Dosis II,Phlegma II,Eukrasian Dosis II,Rhizomata,Holos,Panhaima,Dosis III,Phlegma III,Eukrasian Dosis III,Dyskrasia II,Toxikon II,Krasis,Pneuma,Eukrasian Dyskrasia,Psyche,Eukrasian Prognosis II,Philosophia,Sprint,Surecast,Swiftcast,Lucid Dreaming,Esuna,Rescue,Repose
Dosis,,,,,,,,,,,K,,,,,,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,
Diagnosis,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kardia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prognosis,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,,,,,,,,
Egeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physis,,,,,,,,,,,,,,,,,,,,Ur,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phlegma,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,
Eukrasia,,,,,,,,,r,r,r,,,,,,,,,,,,,,,r,,,,,,r,,,,,r,,r,,,,,,,,
Eukrasian Diagnosis,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukrasian Prognosis,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ur,,,,,,,,
Eukrasian Dosis,,,,,,,,S,,,,,,,r,,,,,,,,,,,Ur,,,,,,,,,,,r,,,,,,,,,,
Soteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Icarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Druochole,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,
Dyskrasia,,,,,,,,,,,r,,,,,,,,,,,,,,,r,,,,,,r,U,,,,r,,,,,,,,,,
Kerachole,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,
Ixochole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoe,,,,,,,,r,r,r,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,r,,,,,,,,
Pepsis,,,,,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,,,,,,,
Physis II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,
Taurochole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toxikon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,,,,,,
Haima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dosis II,,,,,,,,,,,,,,,,,,,,,,,,,,K,,,,U,,,,,,,,,,,,,,,,,
Phlegma II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,,,,,,,,,
Eukrasian Dosis II,,,,,,,,S,,,,,,,r,,,,,,,,,,,,,,,,,Ur,,,,,r,,,,,,,,,,
Rhizomata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panhaima,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,
