Aktion \ zu,Ruin,Ruin II,Resurrection,Fester,Painflare,Ruin III,Dreadwyrm Trance,Deathflare,Ruin IV,Summon Bahamut,Wyrmwave,Enkindle Bahamut,Akh Morn,Physick,Energy Drain,Energy Siphon,Outburst,Fountain of Fire,Brand of Purgatory,Enkindle Phoenix,Everlasting Flight,Revelation,Scarlet Flame,Summon Carbuncle,Radiant Aegis,Aethercharge,Searing Light,Summon Ruby,Summon Topaz,Summon Emerald,Summon Ifrit,Summon Titan,Summon Garuda,Ruby Ruin,Topaz Ruin,Emerald Ruin,Ruby Ruin II,Topaz Ruin II,Emerald Ruin II,Ruby Outburst,Topaz Outburst,Emerald Outburst,Ruby Ruin III,Topaz Ruin III,Emerald Ruin III,Astral Impulse,Astral Flare,Astral Flow,Ruby Rite,Topaz Rite,Emerald Rite,Tri-disaster,Ruby Disaster,Topaz Disaster,Emerald Disaster,Rekindle,Summon Phoenix,Ruby Catastrophe,Topaz Catastrophe,Emerald Catastrophe,Crimson Cyclone,Mountain Buster,Slipstream,Summon Ifrit II,Summon Titan II,Summon Garuda II,Gemshine,Precious Brilliance,Crimson Strike,Necrotize,Searing Flash,Summon Solar Bahamut,Luxwave,Umbral Impulse,Umbral Flare,Sunflare,Lux Solaris,Enkindle Solar Bahamut,Exodus,Sprint,Surecast,Addle,Swiftcast,Lucid Dreaming,Sleep
Ruin,,r,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruin II,,,,,,Ur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resurrection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fester,,,,,g,,,g,,g,,g,,,g,g,,,,g,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ug,g,,,,,g,,g,,,,,,,
Painflare,,,,,,,,g,,g,,g,,,g,g,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,g,,g,,,,,,,
Ruin III,,,,,,,,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,,,,,,,,,,,
Dreadwyrm Trance,,,,,,,,,,Ur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deathflare,,,,,,,S,,,g,,g,,,g,g,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,
Ruin IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summon Bahamut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KU,,,,,,,,,,,,,,,K,,,,,,,,,,,,,
Wyrmwave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enkindle Bahamut,,,,,,,,,,g,,,,,g,g,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,,,,,,,
Akh Morn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Drain,,,,,,,,,,g,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Siphon,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outburst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fountain of Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand of Purgatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enkindle Phoenix,,,,,,,,,,g,,g,,,g,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,
