Aktion \ zu,Steel Fangs,Reaving Fangs,Hunter's Sting,Swiftskin's Sting,Flanksting Strike,Flanksbane Fang,Hindsting Strike,Hindsbane Fang,Steel Maw,Reaving Maw,Hunter's Bite,Swiftskin's Bite,Jagged Maw,Bloodied Maw,Vicewinder,Hunter's Coil,Swiftskin's Coil,Vicepit,Hunter's Den,Swiftskin's Den,Reawaken,First Generation,Second Generation,Third Generation,Fourth Generation,Ouroboros,Writhing Snap,Uncoiled Fury,Death Rattle,Last Lash,Twinfang Bite,Twinblood Bite,Twinfang Thresh,Twinblood Thresh,First Legacy,Second Legacy,Third Legacy,Fourth Legacy,Uncoiled Twinfang,Uncoiled Twinblood,Slither,Serpent's Ire,Serpent's Tail,Twinfang,Twinblood,Sprint,Second Wind,Bloodbath,True North,Arm's Length,Feint,Leg Sweep
Steel Fangs,,,K,,r,r,r,r,,,,,r,r,,g,g,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reaving Fangs,,,,K,r,r,r,r,,,,,r,r,,g,g,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter's Sting,,,,r,K,,K,,,,,,,,,g,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swiftskin's Sting,,,,,,K,,K,,,,,,,,g,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flanksting Strike,,,,,,,,,,,,,,,,g,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flanksbane Fang,,,,,,,,,,,,,,,,g,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hindsting Strike,,,,,,,,,,,,,,,,g,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hindsbane Fang,,,,,,,,,,,,,,,,g,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steel Maw,,,,,r,r,r,r,,,K,,r,r,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reaving Maw,,,,,r,r,r,r,,,,K,r,r,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter's Bite,,,,,,,,,,,,r,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swiftskin's Bite,,,,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
