Aktion \ zu,Heavy Swing,Maim,Berserk,Thrill of Battle,Overpower,Storm's Path,Holmgang,Vengeance,Storm's Eye,Tomahawk,Defiance,Inner Beast,Steel Cyclone,Infuriate,Fell Cleave,Decimate,Raw Intuition,Equilibrium,Onslaught,Upheaval,Shake It Off,Inner Release,Mythril Tempest,Chaotic Cyclone,Nascent Flash,Inner Chaos,Bloodwhetting,Orogeny,Primal Rend,Release Defiance,Damnation,Primal Wrath,Primal Ruination,Sprint,Rampart,Provoke,Reprisal,Shirk,Interject,Low Blow,Arm's Length
Heavy Swing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Maim,Cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Berserk,,,,,,,,,r,,,,,,,,,,,,,Uar,,,,,,,,,,,,,,,,,,,
Thrill of Battle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overpower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Storm's Path,,Cc,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Holmgang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vengeance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ur,,,,r,,,,,,
Storm's Eye,,Cc,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Tomahawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Defiance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Beast,,,,,,,,,r,,,,,,Ur,,,,,,,,,,,,,,g,,,,,,,,,,,,
Steel Cyclone,,,,,,,,,r,,,,,,,Ur,,,,,,,,,,,,,g,,,,,,,,,,,,
Infuriate,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,
Fell Cleave,,,,,,,,,r,,,,,,,,,,,,,,,,,K,,,g,,,,,,,,,,,,
Decimate,,,,,,,,,r,,,,,,,,,,,,,,,K,,,,,g,,,,,,,,,,,,
Raw Intuition,,,,,,,,,,,,,,,,,,,,,,,,,,,Ur,,,,,,,,,,,,,,
Equilibrium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onslaught,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,
Upheaval,,,,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shake It Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Release,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,K,,,,,,,,,
Mythril Tempest,,,,,Cc,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Chaotic Cyclone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nascent Flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Chaos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloodwhetting,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,
Orogeny,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
Primal Rend,,,,,,,,,,,,,,,,,,,,,,Ss,,,,,,,,,,,K,,,,,,,,
Release Defiance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damnation,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,
Primal Wrath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primal Ruination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sg,,,,,,,,,,,,
Sprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rampart,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,
Provoke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reprisal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shirk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low Blow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arm's Length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
